Frequency,S11_Magnitude,S11_Phase,S11_VSWR
15444444,-0.232074345,-1.700189725,74.8588246
15553333,-0.235358793,-2.460280159,73.81428991
15662222,-0.237676738,-3.224867301,73.09450374
15771111,-0.241169552,-3.977944351,72.03602261
15880000,-0.244134874,-4.742918843,71.1611685
15988888,-0.247998862,-5.488475163,70.05257708
16097777,-0.250869944,-6.24585799,69.25096961
16206666,-0.254185981,-6.99558438,68.34766799
16315555,-0.258103519,-7.741763659,67.31042493
16424444,-0.262393844,-8.498947458,66.21001509
16533333,-0.266225593,-9.230730725,65.25720923
16642222,-0.269612536,-9.977930367,64.43756043
16751111,-0.273422035,-10.7271996,63.53991831
16860000,-0.276017777,-11.46569333,62.94247161
16968888,-0.281943493,-12.21449464,61.61981037
17077777,-0.284153578,-12.94430799,61.14062938
17186666,-0.288482702,-13.69872404,60.22328551
17295555,-0.293525715,-14.42964508,59.18879185
17404444,-0.295321315,-15.1661292,58.82898342
17513333,-0.300495086,-15.90590437,57.81629283
17622222,-0.303240972,-16.63513652,57.29286379
17731111,-0.307414303,-17.3806467,56.51523833
17840000,-0.311079054,-18.13349454,55.84958511
17948888,-0.315438359,-18.85985006,55.07791938
18057777,-0.319335882,-19.59177117,54.40583698
18166666,-0.322719688,-20.33885701,53.83550587
18275555,-0.325934213,-21.0746588,53.30467609
18384444,-0.32999802,-21.80794782,52.64840314
18493333,-0.334919563,-22.5530852,51.874938
18602222,-0.337142919,-23.28979786,51.53292359
18711111,-0.34144715,-24.02222454,50.88347138
18820000,-0.345051695,-24.76163002,50.35206035
18928888,-0.349505885,-25.49634847,49.71053101
19037777,-0.352842447,-26.23765196,49.24058391
19146666,-0.357424697,-26.9844911,48.60948527
19255555,-0.359686837,-27.72685646,48.30385732
19364444,-0.363881236,-28.46935003,47.7472268
19473333,-0.367810568,-29.21265382,47.23729164
19582222,-0.370542207,-29.95618566,46.88916254
19691111,-0.375368942,-30.71201684,46.28641558
19800000,-0.379068507,-31.4377652,45.83481902
19908888,-0.381608667,-32.18176964,45.52981885
20017777,-0.385614903,-32.93821641,45.05695265
20126666,-0.38957323,-33.67401634,44.59929473
20235555,-0.392675603,-34.42364097,44.24705221
20344444,-0.396375143,-35.18162028,43.83421664
20453333,-0.400421726,-35.93799555,43.39139121
20562222,-0.402581468,-36.68615662,43.15869063
20671111,-0.407326906,-37.45536894,42.65606448
20780000,-0.410388649,-38.21137442,42.33794203
20888888,-0.413357992,-38.95909656,42.03392232
20997777,-0.416249361,-39.73068311,41.74205509
21106666,-0.421421849,-40.49452678,41.22991472
21215555,-0.423492399,-41.25414794,41.02841164
21324444,-0.426913245,-42.02305542,40.69978269
21433333,-0.429224357,-42.78328258,40.48072751
21542222,-0.433845698,-43.56020484,40.04970167
21651111,-0.436789908,-44.34015688,39.77985668
21760000,-0.440187575,-45.11741232,39.4729386
21868888,-0.442462647,-45.89703969,39.2700622
21977777,-0.445075305,-46.67813112,39.03964101
22086666,-0.449004686,-47.45941658,38.69814305
22195555,-0.45290894,-48.25094906,38.36469887
22304444,-0.457512707,-49.04926659,37.97882607
22413333,-0.457921645,-49.84220668,37.94492549
22522222,-0.4620853,-50.64091782,37.6031789
22631111,-0.464077685,-51.44299764,37.44181667
22740000,-0.467022011,-52.23795729,37.2058785
22848888,-0.471305822,-53.0599183,36.86786908
22957777,-0.474281923,-53.86486364,36.6366384
23066666,-0.477020961,-54.67193341,36.42637691
23175555,-0.481088601,-55.49608859,36.1185446
23284444,-0.483988095,-56.32763867,35.90227519
23393333,-0.486820205,-57.14285263,35.69351962
23502222,-0.489886337,-57.97103236,35.47023599
23611111,-0.492526901,-58.7892695,35.28017194
23720000,-0.496468062,-59.63631055,35.0002545
23828888,-0.499528486,-60.46424064,34.78593819
23937777,-0.502429449,-61.30556755,34.58519964
24046666,-0.504833436,-62.15331631,34.42059898
24155555,-0.508484042,-63.00049973,34.17361961
24264444,-0.512469759,-63.85707552,33.90798769
24373333,-0.516167716,-64.70706441,33.66520364
24482222,-0.518488737,-65.56101524,33.51458984
24591111,-0.521835776,-66.42125924,33.29975629
24700000,-0.527116124,-67.29611382,32.96637997
24808888,-0.53058576,-68.17021198,32.75093708
24917777,-0.533619946,-69.03637131,32.56482991
25026666,-0.538021346,-69.94134122,32.29859447
25135555,-0.543026027,-70.82669718,32.00111267
25244444,-0.545821411,-71.72310628,31.83732831
25353333,-0.549102661,-72.62060535,31.64720483
25462222,-0.554255987,-73.52331904,31.35315432
25571111,-0.558966217,-74.42841542,31.08913125
25680000,-0.563132699,-75.33176865,30.85926963
25788888,-0.569164801,-76.27419006,30.53244825
25897777,-0.574001764,-77.20425277,30.27534407
26006666,-0.578881072,-78.10981219,30.02034385
26115555,-0.583627123,-79.01060535,29.77640001
26224444,-0.590443744,-79.92209975,29.43289415
26333333,-0.595719999,-80.84697414,29.1724104
26442222,-0.602567127,-81.77167655,28.84117792
26551111,-0.6077474,-82.70148017,28.59554148
26660000,-0.614692454,-83.63466958,28.27272202
26768888,-0.620598462,-84.57868256,28.00388642
26877777,-0.628092594,-85.51444398,27.67004188
26986666,-0.634792147,-86.47152061,27.37826982
27095555,-0.642537755,-87.43287276,27.04852808
27204444,-0.649332609,-88.38539296,26.76574173
27313333,-0.656686906,-89.36499599,26.46627033
27422222,-0.662473095,-90.33956124,26.23532901
27531111,-0.670060918,-91.31634976,25.93852753
27640000,-0.674534114,-92.29880218,25.76668637
27748888,-0.681075947,-93.28591558,25.51944343
27857777,-0.687348935,-94.27501195,25.28678358
27966666,-0.694218734,-95.26804629,25.03681475
28075555,-0.703538347,-96.28621594,24.70551298
28184444,-0.710363237,-97.2879592,24.46841272
28293333,-0.716574049,-98.2931953,24.25657322
28402222,-0.724037207,-99.29657949,24.00682862
28511111,-0.731245184,-100.3140018,23.77046543
28620000,-0.739033018,-101.3489901,23.52027259
28728888,-0.746387033,-102.3685903,23.2888124
28837777,-0.75375737,-103.4104332,23.06137277
28946666,-0.761930385,-104.4303881,22.81431174
29055555,-0.768814164,-105.4932467,22.61030074
29164444,-0.777317778,-106.5226106,22.36327557
29273333,-0.783869154,-107.5736159,22.17661939
29382222,-0.790210526,-108.6437703,21.99889623
29491111,-0.799321206,-109.6942785,21.7484999
29600000,-0.807913865,-110.7563422,21.51751917
29708888,-0.81360207,-111.8259612,21.3672994
29817777,-0.820365216,-112.8946826,21.19140436
29926666,-0.829022075,-113.9765679,20.97044871
30035555,-0.836460878,-115.0598169,20.78423871
30144444,-0.843562055,-116.1497394,20.6095465
30253333,-0.850724585,-117.2509877,20.43630158
30362222,-0.865551703,-118.2838067,20.08678655
30471111,-0.869600506,-119.4538241,19.99341877
30580000,-0.875648913,-120.5616214,19.85554862
30688888,-0.882221233,-121.6853958,19.7078811
30797777,-0.887365026,-122.8052798,19.59383709
30906666,-0.893953658,-123.9173308,19.4496781
31015555,-0.90013158,-125.0359375,19.31642426
31124444,-0.913082766,-126.1309542,19.04293299
31233333,-0.912312474,-127.2973915,19.05898194
31342222,-0.918010299,-128.4324665,18.94090624
31451111,-0.924203996,-129.5812547,18.8142076
31560000,-0.929976249,-130.7272793,18.69765079
31668888,-0.936681672,-131.8709024,18.56405623
31777777,-0.942797079,-133.0292945,18.44387521
31886666,-0.94909898,-134.1842368,18.32165109
31995555,-0.954177646,-135.3424013,18.22432734
32104444,-0.959436612,-136.519965,18.12463541
32213333,-0.966348877,-137.6876008,17.99525463
32322222,-0.97288101,-138.8467638,17.87468035
32431111,-0.977951818,-140.0242669,17.78219181
32540000,-0.982261482,-141.2138753,17.70433755
32648888,-0.988116257,-142.3912365,17.59965993
32757777,-0.992894649,-143.5861311,17.5151429
32866666,-0.997927352,-144.7692077,17.42700387
32975555,-1.003580484,-145.9559037,17.32905443
33084444,-1.007607359,-147.1474033,17.25995351
33193333,-1.012877128,-148.3404337,17.17035552
33302222,-1.018325884,-149.5474837,17.07869055
33411111,-1.022301419,-150.7531657,17.01242699
33520000,-1.02678918,-151.9542479,16.93824298
33628888,-1.030807579,-153.1577958,16.87236643
33737777,-1.0345779,-154.3634063,16.81102269
33846666,-1.040175457,-155.5752776,16.72077068
33955555,-1.043851387,-156.7869807,16.66202912
34064444,-1.049365341,-158.0049528,16.57468843
34173333,-1.053089202,-159.2090782,16.51622074
34282222,-1.056902664,-160.424592,16.45677378
34391111,-1.061013031,-161.6344502,16.39317756
34500000,-1.065129955,-162.8618936,16.3299725
34608888,-1.070309388,-164.0778621,16.25114681
34717777,-1.074077039,-165.3037166,16.19428525
34826666,-1.077706487,-166.5374211,16.13988589
34935555,-1.080946152,-167.7751327,16.09163769
35044444,-1.085507758,-169.0017659,16.02419076
35153333,-1.088036481,-170.2154636,15.98704555
35262222,-1.092484951,-171.4333114,15.92211847
35371111,-1.095988834,-172.6570241,15.87134954
35480000,-1.0987331,-173.8688845,15.83181337
35588888,-1.101800082,-175.0898414,15.78786125
35697777,-1.105400948,-176.3009304,15.73656986
35806666,-1.108457287,-177.5227192,15.69329662
35915555,-1.112231549,-178.7393036,15.64018729
36024444,-1.114621808,-179.9590493,15.60673915
36133333,-1.118455391,178.8286239,15.55339277
36242222,-1.122238154,177.6096704,15.50111131
36351111,-1.125856411,176.3881866,15.45143268
36460000,-1.129444168,175.1802189,15.40248753
36568888,-1.133876758,173.964826,15.34244527
36677777,-1.137135888,172.7489053,15.29859731
36786666,-1.140339191,171.5326145,15.25574504
36895555,-1.144511554,170.318294,15.20028934
37004444,-1.148224114,169.1081408,15.15128431
37113333,-1.151187645,167.8950532,15.11239351
37222222,-1.155667291,166.6919345,15.05398568
37331111,-1.16035437,165.484953,14.99335675
37440000,-1.167276451,164.3070812,14.90470915
37548888,-1.169185275,163.0699125,14.88044871
37657777,-1.17418441,161.8670789,14.81728596
37766666,-1.179438451,160.653374,14.7514805
37875555,-1.184118044,159.4145365,14.69336229
37984444,-1.18870181,158.2110723,14.63687852
38093333,-1.195556619,157.016167,14.55321908
38202222,-1.20125402,155.8361234,14.48441293
38311111,-1.207242033,154.6578595,14.41279821
38420000,-1.213550276,153.4895084,14.33811931
38528888,-1.221327619,152.3362506,14.24711232
38637777,-1.227513539,151.1791378,14.1755522
38746666,-1.23452144,150.0125808,14.09535107
38855555,-1.242011461,148.8518233,14.01063462
38964444,-1.249219764,147.6746428,13.93006549
39073333,-1.256530318,146.5113539,13.84929923
39182222,-1.263485489,145.3522721,13.77332831
39291111,-1.271805926,144.1992182,13.68353817
39400000,-1.280416227,143.0568926,13.59185079
39508888,-1.288636644,141.9305944,13.50546045
39617777,-1.297093706,140.8118568,13.41772799
39726666,-1.306693962,139.6880411,13.31951499
39835555,-1.315378173,138.5769223,13.23191062
39944444,-1.325409251,137.460284,13.13215092
40053333,-1.33393321,136.3613312,13.04856106
40162222,-1.345022382,135.2402802,12.94140436
40271111,-1.353811718,134.1395401,12.85772096
40380000,-1.364567518,133.0501064,12.75678459
40488888,-1.374553276,131.9554735,12.66449151
40597777,-1.384788307,130.8601439,12.5712787
40706666,-1.394896582,129.7782658,12.4805657
40815555,-1.405992941,128.7052867,12.38249053
40924444,-1.418262384,127.6371844,12.27583754
41033333,-1.429366502,126.5923428,12.18089607
41142222,-1.440625598,125.5426645,12.08612724
41251111,-1.452473056,124.4934728,11.98799612
41360000,-1.464375392,123.4501133,11.89101305
41468888,-1.476512081,122.41798,11.79373427
41577777,-1.489495739,121.3787506,11.69142609
41686666,-1.501416737,120.3469409,11.59905334
41795555,-1.513994901,119.3215648,11.50316943
41904444,-1.527160456,118.3105002,11.40450388
42013333,-1.541443382,117.306353,11.29937542
42122222,-1.554268206,116.292508,11.20662984
42231111,-1.568208277,115.28972,11.10754422
42340000,-1.58274687,114.2973844,11.00606874
42448888,-1.596405667,113.304069,10.91242251
42557777,-1.611948202,112.3346198,10.80779696
42666666,-1.625571299,111.3509087,10.71774226
42775555,-1.640564384,110.3709387,10.6203651
42884444,-1.651490752,109.2771829,10.55051752
42993333,-1.669392487,108.4072437,10.43806151
43102222,-1.686800883,107.4764955,10.33100073
43211111,-1.703236193,106.5241145,10.23193903
43320000,-1.719179846,105.5733458,10.1376564
43428888,-1.735041226,104.6362594,10.04558521
43537777,-1.751690604,103.704056,9.950739504
43646666,-1.769266018,102.7596066,9.852561738
43755555,-1.786173507,101.8357303,9.759944637
43864444,-1.804301403,100.903904,9.662577243
43973333,-1.821677525,100.006129,9.571073174
44082222,-1.839002298,99.09791251,9.48156728
44191111,-1.858799826,98.19272895,9.381336478
44300000,-1.878058195,97.29071791,9.285870605
44408888,-1.897152195,96.40587445,9.193140338
44517777,-1.916431231,95.52414262,9.101393563
44626666,-1.935802427,94.65452251,9.011056165
44735555,-1.955622336,93.77327069,8.9204861
44844444,-1.975195163,92.91989126,8.832836353
44953333,-1.996737472,92.06603873,8.738361881
45062222,-2.018835485,91.22369877,8.643554366
45171111,-2.03961657,90.36771905,8.556279599
45280000,-2.060825852,89.53470886,8.469029679
45388888,-2.08293533,88.70601527,8.379976893
45497777,-2.104942583,87.87698594,8.293202441
45606666,-2.12787068,87.05897312,8.204715485
45715555,-2.15162314,86.24096334,8.115045665
45824444,-2.173951599,85.45515972,8.032547496
45933333,-2.197427031,84.65423206,7.947628827
46042222,-2.223017581,83.85890323,7.857113004
46151111,-2.245434253,83.07883186,7.779527785
46260000,-2.270491771,82.30261202,7.694625807
46368888,-2.294597619,81.5228812,7.614708197
46477777,-2.319447544,80.76702994,7.534072619
46586666,-2.346080359,80.00825531,7.449559305
46695555,-2.371025414,79.24162458,7.372134004
46804444,-2.397339808,78.48602822,7.292215589
46913333,-2.424680494,77.7488249,7.21102925
47022222,-2.451557639,77.02114364,7.132995731
47131111,-2.480366348,76.3251131,7.05124434
47240000,-2.507232509,75.62263529,6.976709675
47348888,-2.536073151,74.94155169,6.898466809
47457777,-2.563750826,74.24384374,6.825045928
47566666,-2.594472716,73.56843842,6.745397198
47675555,-2.622759386,72.90470388,6.673724001
47784444,-2.651690951,72.22494373,6.602010453
47893333,-2.682392793,71.57224993,6.527613691
48002222,-2.712060653,70.9305944,6.457335304
48111111,-2.743343616,70.26557216,6.384890632
48220000,-2.774003194,69.64233798,6.315488022
48328888,-2.804507038,69.0226235,6.247956488
48437777,-2.835929353,68.42465956,6.179923648
48546666,-2.867323456,67.82714794,6.113454051
48655555,-2.899334261,67.25417623,6.047174182
48764444,-2.931159188,66.68051078,5.982727419
48873333,-2.963270624,66.10713591,5.919116646
48982222,-2.99588019,65.55363897,5.855927992
49091111,-3.027762478,65.03321365,5.795477399
49200000,-3.060160402,64.5197017,5.735352362
49308888,-3.090965306,64.00576606,5.679364599
49417777,-3.122812522,63.50591995,5.622655818
49526666,-3.153331022,63.02230333,5.569399229
49635555,-3.184693633,62.54744094,5.515744596
49744444,-3.215482359,62.08246242,5.464101122
49853333,-3.245503495,61.62721447,5.414699316
49962222,-3.275475081,61.1872303,5.36629277
50071111,-3.303962013,60.77183619,5.321107651
50180000,-3.334022147,60.34584148,5.274274441
50288888,-3.361409685,59.94742942,5.232343179
50397777,-3.388128944,59.56067557,5.192096422
50506666,-3.415168462,59.19109633,5.152016435
50615555,-3.439088352,58.81786353,5.117092663
50724444,-3.462156303,58.45565002,5.083875762
50833333,-3.485603886,58.11312432,5.05056869
50942222,-3.506350422,57.77817838,5.021474813
51051111,-3.5253055,57.43677345,4.995196574
51160000,-3.543816485,57.11509195,4.969809004
51268888,-3.55983544,56.83644878,4.948055257
51377777,-3.574849623,56.54404909,4.927845449
51486666,-3.586981132,56.24437336,4.911641169
51595555,-3.597581563,56.01037918,4.89757271
51704444,-3.606338651,55.75662266,4.886013929
51813333,-3.614091307,55.50445375,4.875828347
51922222,-3.617931629,55.25041487,4.87079926
52031111,-3.621035479,55.01372922,4.866742527
52140000,-3.621372561,54.77372268,4.866302385
52248888,-3.61938742,54.53564423,4.868895662
52357777,-3.615654574,54.29903442,4.873779866
52466666,-3.607928458,54.06297844,4.883921593
52575555,-3.598166045,53.80222386,4.896799455
52684444,-3.587686948,53.55536582,4.910701819
52793333,-3.575260893,53.34256246,4.927294281
52902222,-3.560642104,53.11096624,4.946965056
53011111,-3.543582545,52.89730206,4.970128171
53120000,-3.522854136,52.64834129,4.998578868
53228888,-3.502767163,52.40488877,5.026474838
53337777,-3.479978969,52.14958462,5.058517366
53446666,-3.45442458,51.88811092,5.094959049
53555555,-3.426465619,51.60105928,5.13546069
53664444,-3.398055591,51.31116808,5.177307361
53773333,-3.369112992,51.064137,5.220673507
53882222,-3.337049479,50.76706157,5.269605239
53991111,-3.303414837,50.45557054,5.321968136
54100000,-3.269546836,50.13376869,5.375796133
54208888,-3.232743937,49.78382659,5.435582626
54317777,-3.196252758,49.45407903,5.496237931
54426666,-3.159641957,49.11601941,5.558516037
54535555,-3.120840247,48.77994781,5.626133777
54644444,-3.081751871,48.40494188,5.695991427
54753333,-3.043121794,48.01621556,5.766811894
54862222,-3.002072728,47.63184172,5.844085117
54971111,-2.961734289,47.22174303,5.922128313
55080000,-2.920822429,46.79793622,6.003504334
55188888,-2.878988614,46.36447257,6.089128541
55297777,-2.838001263,45.93437698,6.175491136
55406666,-2.796300148,45.47995789,6.265979355
55515555,-2.754460828,45.00416019,6.359545093
55624444,-2.714173649,44.54657846,6.452389034
55733333,-2.67392474,44.052318,6.547961532
55842222,-2.633041345,43.55922007,6.648055897
55951111,-2.592162712,43.05460769,6.751319929
56060000,-2.552319049,42.55597061,6.855176724
56168888,-2.513811239,42.043645,6.958702826
56277777,-2.474025441,41.51343671,7.069073628
56386666,-2.435170667,40.96858437,7.180366406
56495555,-2.398743863,40.43399885,7.288000972
56604444,-2.36130915,39.89023239,7.402095982
56713333,-2.323263965,39.31840145,7.521842406
56822222,-2.286650516,38.74547554,7.64086781
56931111,-2.252329831,38.1662588,7.75597415
57040000,-2.21722713,37.59423697,7.877410407
57148888,-2.182993771,36.99878644,7.999621468
57257777,-2.150158092,36.3924298,8.120518863
57366666,-2.117236482,35.79444733,8.245516815
57475555,-2.085991575,35.17714198,8.367816131
57584444,-2.054263192,34.54892094,8.495833518
57693333,-2.023362904,33.93601779,8.624387036
57802222,-1.993613816,33.30516685,8.751933662
57911111,-1.964390559,32.6649251,8.88100393
58020000,-1.936097167,32.00840431,9.009695668
58128888,-1.908141835,31.33980217,9.14061376
58237777,-1.879257542,30.66619608,9.279990279
58346666,-1.852508156,30.00262761,9.412956799
58455555,-1.826218937,29.32857575,9.547445793
58564444,-1.801269568,28.68131727,9.678724681
58673333,-1.776713156,27.99433911,9.811549278
58782222,-1.753281198,27.32282874,9.941773023
58891111,-1.731538925,26.66296206,10.06576957
59000000,-1.708896667,25.98772961,10.1982638
59108888,-1.687081919,25.29438459,10.32929055
59217777,-1.664307226,24.59821039,10.4697596
59326666,-1.644258194,23.88360275,10.59664798
59435555,-1.624058533,23.17470761,10.72766752
59544444,-1.604603051,22.45867622,10.85698799
59653333,-1.586210839,21.73523765,10.98216631
59762222,-1.565984912,21.01871651,11.12322927
59871111,-1.5485587,20.28262913,11.24772919
59980000,-1.529327675,19.55925228,11.38842552
60088888,-1.513457637,18.81081417,11.50723235
60197777,-1.495407244,18.06458152,11.64543482
60306666,-1.47922031,17.3191693,11.77224546
60415555,-1.463582744,16.56412393,11.8974226
60524444,-1.447088499,15.80438137,12.03239614
60633333,-1.432070094,15.03375941,12.15800343
60742222,-1.41653277,14.26143947,12.29076021
60851111,-1.401467029,13.46768586,12.42230486
60960000,-1.386298615,12.67706824,12.55764076
61068888,-1.372894624,11.88646218,12.67972838
61177777,-1.358518714,11.08536897,12.81335171
61286666,-1.347005534,10.26164612,12.92242714
61395555,-1.331964981,9.445178878,13.06776723
61504444,-1.317778885,8.624989464,13.20789688
61613333,-1.305383158,7.784354021,13.33283952
61722222,-1.291916029,6.937630305,13.47130394
61831111,-1.27856684,6.084745499,13.61143978
61940000,-1.264527312,5.219123405,13.76202062
62048888,-1.237244018,4.396710265,14.06443829
62157777,-1.238531615,3.445526189,14.04986603
62266666,-1.221868947,2.487229194,14.24082114
62375555,-1.210685854,1.619441341,14.3719326
62484444,-1.199294837,0.66544572,14.50799965
62593333,-1.185185006,-0.302588708,14.68017551
62702222,-1.172963177,-1.284994684,14.83266615
62811111,-1.16028206,-2.278248865,14.99428838
62920000,-1.149356067,-3.315343893,15.13640583
63028888,-1.140958101,-4.390048825,15.24749332
63137777,-1.136098204,-5.511105798,15.31253086
63246666,-1.140741544,-6.657400925,15.25037958
63355555,-1.155342032,-7.833336885,15.0582113
63464444,-1.185086917,-8.991466614,14.68138681
63573333,-1.227761259,-10.05926823,14.17270156
63682222,-1.271326312,-11.0192299,13.68868196
63791111,-1.305324503,-11.87424774,13.33343639
63900000,-1.326334229,-12.69477204,13.12302808
64008888,-1.326111185,-13.52370208,13.12522675
64117777,-1.320841956,-14.43157964,13.1773847
64226666,-1.309749795,-15.40001062,13.28855571
64335555,-1.297596814,-16.41766001,13.41254492
64444444,-1.283756701,-17.46247118,13.55661125
64553333,-1.272412324,-18.54586216,13.67704021
64662222,-1.260532662,-19.67899602,13.80547928
64771111,-1.249972835,-20.83097671,13.92170192
64880000,-1.23893104,-22.02379518,14.04535173
64988888,-1.230383983,-23.25933232,14.14259108
65097777,-1.221629098,-24.51163899,14.24360792
65206666,-1.215672802,-25.79857885,14.31316674
65315555,-1.209002417,-27.10708702,14.39187973
65424444,-1.202614996,-28.45316422,14.46807337
65533333,-1.197484368,-29.82933021,14.5298647
65642222,-1.191885868,-31.23200326,14.59789885
65751111,-1.188518928,-32.67163427,14.63912374
65860000,-1.183346895,-34.13886823,14.70290789
65968888,-1.181011561,-35.65461541,14.7318918
66077777,-1.177426324,-37.19084238,14.77661236
66186666,-1.17607339,-38.78883307,14.79355919
66295555,-1.175280833,-40.40718521,14.80350491
66404444,-1.173480847,-42.07556011,14.82614271
66513333,-1.17410683,-43.78912396,14.81826205
66622222,-1.17301371,-45.54134593,14.8320291
66731111,-1.174034546,-47.34004461,14.81917162
66840000,-1.17410262,-49.19371601,14.81831502
66948888,-1.175342369,-51.09023069,14.80273221
67057777,-1.178213367,-53.0515144,14.7667718
67166666,-1.18156143,-55.07424295,14.72505702
67275555,-1.184013832,-57.14888908,14.69465154
67384444,-1.187918074,-59.29743069,14.64650522
67493333,-1.191539071,-61.50963441,14.60213426
67602222,-1.195477212,-63.78709758,14.55418269
67711111,-1.20081098,-66.14327938,14.48973997
67820000,-1.205912664,-68.56479586,14.42863552
67928888,-1.212008243,-71.0822137,14.35630247
68037777,-1.220999093,-73.67979318,14.2509331
68146666,-1.226449639,-76.36899789,14.18780815
68255555,-1.234542278,-79.14791777,14.09511395
68364444,-1.242239656,-82.017701,14.00806967
68473333,-1.250694656,-85.00432231,13.91369487
68582222,-1.258318276,-88.095,13.82968914
68691111,-1.266758386,-91.30003357,13.7378678
68800000,-1.279018783,-94.62961664,13.60664749
68908888,-1.287081492,-98.0584451,13.52171913
69017777,-1.296136767,-101.6187376,13.4275976
69126666,-1.305348818,-105.3195186,13.33318896
69235555,-1.31393985,-109.1575722,13.24633993
69344444,-1.321991916,-113.1116476,13.16596618
69453333,-1.330222338,-117.2321903,13.08481965
69562222,-1.337271636,-121.4856066,13.01611389
69671111,-1.344706597,-125.8819416,12.94443135
69780000,-1.34883159,-130.4142092,12.90500266
69888888,-1.352288547,-135.1127418,12.87214502
69997777,-1.353871124,-139.9491811,12.85715907
70106666,-1.355384507,-144.9148936,12.84286114
70215555,-1.352030925,-150.0309815,12.87458786
70324444,-1.34763974,-155.2735234,12.9163701
70433333,-1.340819205,-160.6331132,12.98181142
70542222,-1.331377621,-166.0943522,13.07350977
70651111,-1.317523562,-171.6523831,13.21044664
70760000,-1.302711385,-177.3138297,13.36008172
70868888,-1.284340184,176.9665455,13.55047478
70977777,-1.263557322,171.1940135,13.77254805
71086666,-1.238599994,165.3898428,14.04909301
71195555,-1.212068579,159.5737029,14.35559013
71304444,-1.183834421,153.7597024,14.69687165
71413333,-1.153697302,147.9557168,15.07961541
71522222,-1.12166353,142.1945446,15.50903042
71631111,-1.089704094,136.4722365,15.96264392
71740000,-1.056820324,130.8279077,16.45805281
71848888,-1.024021121,125.2600169,16.98392287
71957777,-0.991380148,119.7820806,17.54184209
72066666,-0.957264211,114.4020817,18.16568374
72175555,-0.92703087,109.1282917,18.75694411
72284444,-0.896419402,103.9640073,19.39627314
72393333,-0.866159113,98.91356033,20.07272363
72502222,-0.839576566,93.98514349,20.70722723
72611111,-0.81415016,89.16893908,21.35293584
72720000,-0.790696867,84.49326303,21.98538383
72828888,-0.769984211,79.91490507,22.57598761
72937777,-0.749880813,75.45319745,23.1804409
73046666,-0.731838286,71.10876752,23.75122393
73155555,-0.716591613,66.86105786,24.25597937
73264444,-0.702909732,62.72217582,24.72758307
73373333,-0.691299216,58.68897416,25.14243882
73482222,-0.68147331,54.74114694,25.50457843
73591111,-0.672875651,50.88662042,25.83013083
73700000,-0.666795839,47.10833039,26.06541435
73808888,-0.662191164,43.40809041,26.24648799
73917777,-0.65859023,39.77995381,26.38985581
74026666,-0.65712324,36.21144825,26.44871329
74135555,-0.656769375,32.71186694,26.46295016
74244444,-0.657876228,29.26014538,26.41846963
74353333,-0.660689721,25.86121257,26.3060765
74462222,-0.665388807,22.50183274,26.12047826
74571111,-0.670141742,19.17935353,25.93540228
74680000,-0.677731156,15.90716885,25.64526028
